Group - valuename - Similarity
1 - 1 - -
1 - 31 - 0.5
1 - 32 - 0.2
2 - 2 - -
2 - 4 - 0.3
2 - 7 - 0.2
2 - 8 - 0.2
2 - 23 - 0.5
2 - 37 - 0.4
2 - 38 - 0.2
3 - 3 - -
5 - 5 - -
5 - 6 - 0.8
9 - 9 - -
10 - 10 - -
10 - 13 - 0.6
10 - 14 - 0.6
10 - 33 - 0.6
10 - 34 - 0.6
11 - 11 - -
11 - 12 - 0.7
15 - 15 - -
15 - 16 - 0.6
17 - 17 - -
17 - 18 - 0.9
19 - 19 - -
19 - 20 - 0.5
21 - 21 - -
21 - 22 - 0.6
24 - 24 - -
25 - 25 - -
25 - 26 - 0.7
27 - 27 - -
27 - 28 - 0.8
27 - 35 - 0.4
27 - 36 - 0.2
27 - 39 - 0.5
27 - 40 - 0.4
29 - 29 - -
29 - 30 - 0.8
41 - 41 - -
41 - 42 - 0.5
43 - 43 - -
43 - 44 - 0.9
45 - 45 - -
45 - 46 - 0.5
47 - 47 - -
47 - 48 - 0.8
47 - 49 - 0.5
47 - 50 - 0.4
47 - 51 - 0.6
47 - 52 - 0.5
47 - 53 - 0.5
47 - 54 - 0.4
47 - 55 - 0.4
47 - 56 - 0.4
47 - 57 - 0.4
47 - 58 - 0.4
47 - 59 - 0.3
47 - 61 - 0.4
47 - 62 - 0.3
47 - 63 - 0.5
47 - 64 - 0.4
47 - 65 - 0.5
47 - 66 - 0.4
47 - 67 - 0.5
47 - 68 - 0.4
47 - 69 - 0.5
47 - 70 - 0.5
47 - 71 - 0.5
47 - 72 - 0.4
47 - 73 - 0.3
47 - 74 - 0.4
47 - 75 - 0.4
47 - 76 - 0.4
47 - 77 - 0.6
47 - 78 - 0.3
47 - 79 - 0.5
47 - 80 - 0.4
47 - 81 - 0.3
47 - 82 - 0.4
47 - 83 - 0.4
47 - 84 - 0.4
47 - 85 - 0.4
47 - 86 - 0.4
47 - 87 - 0.6
47 - 88 - 0.3
47 - 89 - 0.5
47 - 90 - 0.4
47 - 91 - 0.4
47 - 92 - 0.4
47 - 93 - 0.6
47 - 94 - 0.5
47 - 97 - 0.5
47 - 98 - 0.5
60 - 60 - -
95 - 95 - -
96 - 96 - -
99 - 99 - -
100 - 100 - -
