Group - valuename - Similarity
1 - 1 - -
2 - 2 - -
3 - 3 - -
4 - 4 - -
5 - 5 - -
5 - 6 - 0.8
7 - 7 - -
8 - 8 - -
9 - 9 - -
10 - 10 - -
10 - 13 - 0.6
10 - 14 - 0.6
10 - 33 - 0.6
10 - 34 - 0.6
10 - 41 - 0.5
11 - 11 - -
11 - 12 - 0.7
15 - 15 - -
15 - 16 - 0.6
17 - 17 - -
17 - 18 - 0.9
19 - 19 - -
20 - 20 - -
21 - 21 - -
21 - 22 - 0.6
23 - 23 - -
23 - 24 - 0.7
25 - 25 - -
25 - 26 - 0.7
27 - 27 - -
27 - 28 - 0.8
29 - 29 - -
29 - 30 - 0.8
31 - 31 - -
32 - 32 - -
35 - 35 - -
35 - 36 - 0.7
37 - 37 - -
37 - 38 - 0.7
39 - 39 - -
39 - 40 - 0.8
42 - 42 - -
43 - 43 - -
43 - 44 - 0.9
45 - 45 - -
46 - 46 - -
47 - 47 - -
47 - 48 - 0.8
47 - 51 - 0.6
47 - 52 - 0.5
47 - 69 - 0.5
47 - 70 - 0.5
47 - 71 - 0.5
47 - 72 - 0.4
47 - 74 - 0.4
47 - 77 - 0.6
47 - 87 - 0.6
47 - 88 - 0.3
47 - 93 - 0.6
47 - 94 - 0.5
49 - 49 - -
49 - 50 - 0.7
49 - 55 - 0.6
53 - 53 - -
53 - 54 - 0.8
56 - 56 - -
56 - 61 - 0.3
56 - 62 - 0.5
56 - 63 - 0.4
56 - 64 - 0.5
56 - 65 - 0.4
56 - 79 - 0.4
56 - 80 - 0.6
56 - 82 - 0.6
56 - 83 - 0.4
56 - 84 - 0.5
56 - 86 - 0.7
56 - 89 - 0.4
56 - 90 - 0.6
57 - 57 - -
57 - 58 - 0.6
59 - 59 - -
60 - 60 - -
66 - 66 - -
67 - 67 - -
67 - 68 - 0.8
73 - 73 - -
75 - 75 - -
75 - 76 - 0.8
78 - 78 - -
81 - 81 - -
85 - 85 - -
91 - 91 - -
91 - 92 - 0.8
95 - 95 - -
96 - 96 - -
97 - 97 - -
97 - 98 - 0.6
99 - 99 - -
100 - 100 - -
